PROVINCIA,AÑO,ACCIDENTES,VICTIMAS,FALLECIDOS,HERIDOS_GRAVES,HERIDOS_LEVES
Málaga,2022,4961,6649,53,245,6351
Navarra,2019,789,1014,25,128,861
Navarra,2020,576,725,18,99,608
Navarra,2021,880,1139,25,117,997
Navarra,2022,788,983,28,154,801
Ourense,2019,390,525,11,86,428
Ourense,2020,352,454,12,71,371
Ourense,2021,386,508,13,64,431
Ourense,2022,433,539,13,58,468
Palencia,2019,163,232,11,61,160
Palencia,2020,121,166,7,30,129
Palencia,2021,151,207,9,34,164
Palencia,2022,196,274,10,58,206
Pontevedra,2019,1868,2866,32,217,2617
Pontevedra,2020,1491,2155,37,134,1984
Pontevedra,2021,1664,2401,34,146,2221
Pontevedra,2022,1957,2714,25,178,2511
S.C. Tenerife,2019,2242,3091,36,345,2710
S.C. Tenerife,2020,1669,2253,27,265,1961
S.C. Tenerife,2021,1994,2796,26,257,2513
S.C. Tenerife,2022,2137,2946,33,278,2635
Salamanca,2019,388,555,12,45,498
Salamanca,2020,266,380,19,41,320
Salamanca,2021,415,563,5,54,504
Salamanca,2022,546,689,16,57,616
Segovia,2019,325,450,9,32,409
Segovia,2020,227,288,10,20,258
Segovia,2021,221,321,6,29,286
Segovia,2022,296,423,14,39,370
Sevilla,2019,4589,6669,61,317,6291
Sevilla,2020,3201,4485,49,239,4197
Sevilla,2021,4073,5850,46,275,5529
Sevilla,2022,3983,5731,69,266,5396
Soria,2019,123,181,7,32,142
Soria,2020,105,147,6,20,121
Soria,2021,93,143,13,29,101
Soria,2022,105,140,14,26,100
Tarragona,2019,2113,2839,44,221,2574
Tarragona,2020,1538,2011,29,191,1791
Tarragona,2021,2045,2661,26,211,2424
Tarragona,2022,2189,2809,44,248,2517
Teruel,2019,185,260,7,51,202
Teruel,2020,170,250,7,44,199
Teruel,2021,177,236,9,53,174
Teruel,2022,227,299,7,48,244
Toledo,2019,777,1156,27,91,1038
Toledo,2020,595,832,25,69,738
Toledo,2021,681,978,33,90,855
Toledo,2022,880,1303,21,88,1194
Valencia,2019,4404,5844,62,433,5349
Valencia,2020,3114,3994,43,310,3641
Valencia,2021,4312,5619,41,402,5176
Valencia,2022,4771,6038,62,566,5410
Valladolid,2019,895,1184,16,82,1086
Valladolid,2020,616,805,13,80,712
Valladolid,2021,813,1070,22,109,939
Valladolid,2022,790,1054,21,112,921
Zamora,2019,206,321,11,49,261
Zamora,2020,179,244,9,48,187
Zamora,2021,219,329,7,47,275
Zamora,2022,202,290,20,47,223
Zaragoza,2019,1609,2201,25,202,1974
Zaragoza,2020,1169,1543,31,167,1345
Zaragoza,2021,1546,2044,22,207,1815
Zaragoza,2022,1589,2065,37,218,1810
Álava,2019,1029,1324,10,115,1199
Álava,2020,849,1034,5,101,928
Álava,2021,877,1140,10,109,1021
Álava,2022,839,1139,8,138,993
Ávila,2019,336,448,8,39,401
Ávila,2020,235,309,8,34,267
Ávila,2021,292,387,7,40,340
Ávila,2022,287,393,17,49,327
