ID_ACCIDENTE,AÑO,PROVINCIA,MES,DIA_SEMANA,HORA,ZONA,TIPO_VIA,TIPO_ACCIDENTE,CONDICION_METEO,CONDICION_ILUMINACION,TOTAL_VICTIMAS,FALLECIDOS_24H,HERIDOS_GRAVES,HERIDOS_LEVES
2889,2019,Alicante,5,Miércoles,13,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2890,2019,Alicante,4,Martes,11,Travesía,Otro,Choque obstáculo calzada,Buen tiempo,Pleno día,2,0,0,2
2891,2019,Alicante,5,Sábado,11,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2892,2019,Alicante,5,Sábado,12,Zona interurbana,Vía urbana,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2893,2019,Alicante,5,Sábado,10,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2894,2019,Alicante,5,Lunes,23,Travesía,Otro,Animal en calzada,Buen tiempo,Noche sin iluminación,1,0,0,1
2895,2019,Alicante,5,Domingo,4,Travesía,Otro,Colisión lateral,Buen tiempo,Noche sin iluminación,1,0,0,1
2896,2019,Alicante,5,Miércoles,22,Travesía,Otro,Se desconoce,Otro,Noche sin iluminación,1,0,0,1
2897,2019,Alicante,5,Miércoles,8,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2898,2019,Alicante,5,Jueves,9,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2899,2019,Alicante,5,Lunes,19,Travesía,Otro,Salida vía izquierda,Buen tiempo,Pleno día,1,0,0,1
2900,2019,Alicante,5,Miércoles,19,Zona interurbana,Vía urbana,Colisión múltiple,Buen tiempo,Pleno día,6,0,0,6
2901,2019,Alicante,5,Viernes,6,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2902,2019,Alicante,5,Viernes,13,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2903,2019,Alicante,5,Martes,10,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,2,0,0,2
2904,2019,Alicante,5,Viernes,14,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2905,2019,Alicante,5,Viernes,12,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2906,2019,Alicante,5,Sábado,11,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,3,0,0,3
2907,2019,Alicante,5,Lunes,10,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2908,2019,Alicante,5,Lunes,13,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2909,2019,Alicante,5,Domingo,20,Travesía,Otro,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2910,2019,Alicante,5,Jueves,17,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2911,2019,Alicante,5,Lunes,19,Travesía,Otro,Objeto desprendido,Buen tiempo,Pleno día,1,0,1,0
2912,2019,Alicante,4,Lunes,13,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2913,2019,Alicante,5,Viernes,14,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2914,2019,Alicante,4,Viernes,19,Travesía,Calle peatonal,Colisión frontolateral,Buen tiempo,Noche sin iluminación,1,0,0,1
2915,2019,Alicante,5,Miércoles,21,Zona interurbana,Vía urbana,Atropello a ciclista,Buen tiempo,Amanecer/Anochecer,2,0,0,2
2916,2019,Alicante,5,Jueves,16,Zona interurbana,Vía convencional,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2917,2019,Alicante,5,Jueves,7,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2918,2019,Alicante,5,Martes,7,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2919,2019,Alicante,5,Miércoles,14,Travesía,Otro,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
2920,2019,Alicante,5,Sábado,16,Travesía,Otro,Colisión múltiple,Buen tiempo,Pleno día,2,0,0,2
2921,2019,Alicante,5,Viernes,16,Travesía,Otro,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2922,2019,Alicante,5,Viernes,0,Travesía,Otro,Colisión lateral,Buen tiempo,Noche sin iluminación,3,0,0,3
2923,2019,Alicante,5,Lunes,8,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2924,2019,Alicante,5,Domingo,7,Zona interurbana,Vía urbana,Se desconoce,Buen tiempo,Pleno día,1,0,0,1
2925,2019,Alicante,5,Viernes,23,Zona interurbana,Vía convencional,Salida vía izquierda,Buen tiempo,Se desconoce,2,0,0,2
2926,2019,Alicante,5,Jueves,15,Zona interurbana,Vía convencional,Colisión múltiple,Buen tiempo,Pleno día,2,0,0,2
2927,2019,Alicante,5,Jueves,11,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2928,2019,Alicante,6,Domingo,6,Zona interurbana,Vía convencional,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2929,2019,Alicante,5,Jueves,12,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2930,2019,Alicante,5,Miércoles,21,Travesía,Otro,Colisión por alcance,Buen tiempo,Amanecer/Anochecer,1,0,0,1
2931,2019,Alicante,5,Lunes,15,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2932,2019,Alicante,5,Viernes,16,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2933,2019,Alicante,5,Viernes,21,Travesía,Otro,Se desconoce,Buen tiempo,Noche sin iluminación,1,0,0,1
2934,2019,Alicante,5,Miércoles,13,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2935,2019,Alicante,6,Lunes,7,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2936,2019,Alicante,6,Miércoles,20,Travesía,Otro,Objeto desprendido,Buen tiempo,Pleno día,2,0,0,2
2937,2019,Alicante,6,Viernes,22,Travesía,Otro,Animal en calzada,Buen tiempo,Noche sin iluminación,1,0,0,1
2938,2019,Alicante,6,Martes,21,Travesía,Otro,Colisión lateral,Buen tiempo,Noche sin iluminación,1,0,1,0
2939,2019,Alicante,6,Jueves,18,Zona interurbana,Camino vecinal,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2940,2019,Alicante,6,Lunes,1,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Noche sin iluminación,2,0,0,2
2941,2019,Alicante,6,Sábado,20,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2942,2019,Alicante,6,Sábado,20,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,3,0,0,3
2943,2019,Alicante,6,Lunes,14,Zona interurbana,Vía urbana,Colisión frontal,Buen tiempo,Pleno día,2,0,0,2
2944,2019,Alicante,6,Martes,13,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2945,2019,Alicante,6,Viernes,11,Zona interurbana,Vía convencional,Colisión múltiple,Buen tiempo,Pleno día,1,0,0,1
2946,2019,Alicante,6,Miércoles,14,Travesía,Otro,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
2947,2019,Alicante,5,Jueves,19,Travesía,Otro,Colisión frontolateral,Buen tiempo,Amanecer/Anochecer,1,0,0,1
2948,2019,Alicante,4,Miércoles,11,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2949,2019,Alicante,6,Jueves,10,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2950,2019,Alicante,6,Lunes,7,Zona interurbana,Camino vecinal,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2951,2019,Alicante,6,Martes,13,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,1,0
2952,2019,Alicante,6,Sábado,12,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2953,2019,Alicante,6,Jueves,16,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2954,2019,Alicante,6,Viernes,15,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2955,2019,Alicante,5,Martes,19,Travesía,Otro urbano,Colisión lateral,Buen tiempo,Pleno día,1,0,1,0
2956,2019,Alicante,6,Jueves,10,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2957,2019,Alicante,6,Viernes,17,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2958,2019,Alicante,5,Domingo,21,Travesía,Otro,Colisión frontolateral,Buen tiempo,Amanecer/Anochecer,2,0,0,2
2959,2019,Alicante,6,Sábado,9,Zona interurbana,Camino vecinal,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2960,2019,Alicante,6,Jueves,16,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,2,0,0,2
2961,2019,Alicante,6,Viernes,19,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,2,0,0,2
2962,2019,Alicante,6,Martes,20,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2963,2019,Alicante,5,Miércoles,11,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
2964,2019,Alicante,6,Sábado,12,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2965,2019,Alicante,6,Martes,11,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Amanecer/Anochecer,1,0,0,1
2966,2019,Alicante,6,Domingo,12,Travesía,Otro urbano,Colisión frontal,Buen tiempo,Pleno día,1,0,0,1
2967,2019,Alicante,6,Viernes,10,Travesía,Otro,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2968,2019,Alicante,6,Lunes,7,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2969,2019,Alicante,6,Sábado,22,Travesía,Otro,Colisión frontolateral,Buen tiempo,Noche ilum. insuficiente,1,0,0,1
2970,2019,Alicante,6,Miércoles,19,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2971,2019,Alicante,7,Lunes,8,Zona interurbana,Vía convencional,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
2972,2019,Alicante,6,Domingo,11,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,3,0,0,3
2973,2019,Alicante,6,Jueves,20,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2974,2019,Alicante,5,Martes,17,Travesía,Otro urbano,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
